2025-11-03 15:59:17 | INFO     | Backtest.engine.runner | Running backtest longshort_2H_40_e95b47581d -> output C:\Users\User\Desktop\1. Factor Automation V6.0\Backtest\results\longshort\longshort_2H_40_e95b47581d
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | Starting LongShortStrategy | rebalance=5 | max_positions=25 | cash_buffer=0.20
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
