2025-10-10 16:50:51 | INFO     | Backtest.engine.runner | Running backtest longshort_60min_62_01faa9108d_regime_shift_longshort -> output C:\Users\User\Desktop\1. Factor Automation V6.0\Backtest\results\longshort\longshort_60min_62_01faa9108d_regime_shift_longshort
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | Starting LongShortStrategy | rebalance=24 | max_positions=12 | cash_buffer=0.10
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:51 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KNC:0.081, XLM:0.070, RLC:0.063, QTUM:0.059, ATOM:0.051, ZEC:0.050, NEO:0.048, AAVE:-0.054, ZRX:-0.065, RSR:-0.075, SNX:-0.112, LRC:-0.172
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.132, ENJ:0.126, YFI:0.125, ALPHA:0.085, DASH:0.052, RUNE:-0.049, QTUM:-0.050, ALGO:-0.051, KAVA:-0.051, XLM:-0.057, KNC:-0.059, ADA:-0.062
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.118, AVAX:0.107, SOL:0.084, BAND:0.068, NEAR:0.066, SXP:0.064, XLM:-0.053, ENJ:-0.056, ALPHA:-0.057, UNI:-0.064, ETC:-0.074, BAT:-0.090
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BCH:0.070, ETC:0.062, DASH:0.061, ZRX:0.061, IOST:0.054, TRX:0.051, ZEC:0.051, XLM:-0.057, LRC:-0.062, EGLD:-0.086, BTC:-0.126, BAND:-0.159
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZEN:0.174, XMR:0.173, DASH:0.119, NEO:0.043, ICX:-0.044, ADA:-0.047, XLM:-0.048, AVAX:-0.048, BTC:-0.050, RLC:-0.050, IOST:-0.051, LINK:-0.051
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.467, FLM:-0.035, STORJ:-0.035, ALPHA:-0.036, ZRX:-0.037, ONT:-0.038, BNB:-0.038, CRV:-0.039, ETC:-0.039, QTUM:-0.043, LTC:-0.044, BCH:-0.048
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LRC:0.089, SNX:0.088, AAVE:0.084, UNI:0.083, SUSHI:0.072, SKL:0.062, COMP:0.060, AXS:-0.056, BTC:-0.061, ICX:-0.070, NEO:-0.079, IOST:-0.096
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOT:0.058, KSM:0.050, RUNE:0.049, LINK:0.037, LRC:0.037, 1INCH:0.036, GRT:0.036, ALGO:0.035, KAVA:0.034, UNI:0.032, TRB:0.032, SOL:-0.465
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.098, DOT:0.074, SKL:0.069, LINK:0.060, ATOM:0.053, AXS:0.049, ICX:-0.054, XMR:-0.073, ALPHA:-0.085, ZEN:-0.093, ZEC:-0.095, SOL:-0.095
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> TRB:0.097, CRV:0.097, KAVA:0.084, LINK:0.066, KNC:0.062, ZEN:-0.060, BTC:-0.060, AVAX:-0.062, ZEC:-0.064, ETC:-0.068, DASH:-0.084, BCH:-0.097
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.087, ADA:0.071, GRT:0.056, ENJ:0.054, 1INCH:0.052, FLM:0.052, ZEC:-0.052, TRB:-0.067, CRV:-0.071, ZEN:-0.073, LINK:-0.101, IOST:-0.164
