2025-10-09 15:19:56 | INFO     | Backtest.engine.runner | Running backtest longshort_60min_62_e0fe3aa27d_ultra_mom60_longshort_12h -> output C:\Users\User\Desktop\1. Factor Automation V6.0\Backtest\results\longshort\longshort_60min_62_e0fe3aa27d_ultra_mom60_longshort_12h
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | Starting LongShortStrategy | rebalance=12 | max_positions=None | cash_buffer=0.00
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.125, AAVE:0.125, ADA:0.125, ALGO:0.125, ZEC:-0.125, ZEN:-0.125, ZIL:-0.125, ZRX:-0.125
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.282, LINK:0.100, THETA:0.066, ZEN:0.052, ZIL:-0.060, UNI:-0.077, NEAR:-0.177, KSM:-0.186
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.322, SUSHI:0.091, NEAR:0.054, SOL:0.033, RUNE:-0.099, AXS:-0.105, CRV:-0.141, ALGO:-0.154
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.189, DOT:0.123, CRV:0.095, ADA:0.093, GRT:-0.004, FIL:-0.050, SUSHI:-0.131, ALPHA:-0.315
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BAND:0.190, SXP:0.135, ALGO:0.102, NEAR:0.074, YFI:-0.077, XRP:-0.079, RSR:-0.103, DOGE:-0.240
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> VET:0.157, DOGE:0.126, RUNE:0.112, GRT:0.106, STORJ:-0.068, ZEN:-0.100, NEAR:-0.125, THETA:-0.207
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.135, AAVE:0.132, TRX:0.121, CRV:0.112, THETA:-0.087, GRT:-0.127, BTC:-0.133, DOGE:-0.153
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RSR:0.235, DOGE:0.098, SUSHI:0.091, AXS:0.077, DASH:-0.076, SKL:-0.126, ZIL:-0.131, STORJ:-0.167
2025-10-09 15:28:16 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RSR:0.132, LRC:0.131, RUNE:0.123, ALGO:0.114, ZIL:-0.000, SKL:-0.000, TRX:-0.000, ENJ:-0.500
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALGO:0.144, BEL:0.129, KAVA:0.127, TRB:0.100, KSM:-0.102, LTC:-0.113, CRV:-0.133, SNX:-0.151
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XLM:0.210, ADA:0.100, ZRX:0.099, GRT:0.091, SKL:-0.057, ZEN:-0.057, SOL:-0.118, LRC:-0.268
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XLM:0.229, ADA:0.111, BAND:0.091, AXS:0.070, ZEC:-0.098, LRC:-0.114, 1INCH:-0.124, THETA:-0.164
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XLM:0.216, SOL:0.136, ADA:0.094, QTUM:0.054, NEAR:-0.065, KNC:-0.072, EGLD:-0.081, LRC:-0.282
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.181, SOL:0.163, AXS:0.079, YFI:0.078, SKL:-0.075, ADA:-0.115, RLC:-0.131, XLM:-0.179
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ENJ:0.451, BAT:0.049, NEAR:0.000, STORJ:0.000, SUSHI:-0.109, YFI:-0.126, 1INCH:-0.130, ALPHA:-0.135
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.219, AVAX:0.100, RLC:0.094, IOST:0.087, XRP:-0.097, THETA:-0.106, ENJ:-0.140, XLM:-0.157
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.144, BAND:0.133, IOTA:0.113, SXP:0.110, AXS:-0.055, GRT:-0.069, 1INCH:-0.124, ENJ:-0.252
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RLC:0.206, QTUM:0.106, ETC:0.096, NEAR:0.092, SOL:-0.106, AVAX:-0.111, BAND:-0.123, SUSHI:-0.160
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.167, ETC:0.118, STORJ:0.114, DASH:0.101, VET:-0.096, LRC:-0.114, SOL:-0.131, SUSHI:-0.159
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DASH:0.500, BCH:0.000, SNX:0.000, LINK:0.000, AXS:-0.116, ENJ:-0.116, SKL:-0.123, BEL:-0.145
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZEN:0.187, ONT:0.141, QTUM:0.139, XMR:0.033, ZEC:-0.118, AVAX:-0.119, RSR:-0.123, ETC:-0.140
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.337, SKL:0.163, ZEN:0.000, NEAR:0.000, XMR:-0.118, BAND:-0.118, AAVE:-0.129, DASH:-0.135
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.257, XLM:0.088, KNC:0.084, AVAX:0.071, BEL:-0.012, ICX:-0.021, ZEC:-0.177, ZEN:-0.290
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.500, BNB:0.000, COMP:0.000, KSM:0.000, ICX:-0.111, AXS:-0.114, ALPHA:-0.126, RSR:-0.149
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.500, FIL:0.000, STORJ:0.000, ATOM:0.000, ZEN:-0.104, ZEC:-0.109, SUSHI:-0.135, RSR:-0.152
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> THETA:0.130, LRC:0.125, YFI:0.124, ALPHA:0.121, SUSHI:-0.077, EGLD:-0.125, IOST:-0.137, SNX:-0.160
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LRC:0.156, KSM:0.144, KAVA:0.118, IOTA:0.082, ICX:-0.110, RSR:-0.123, ZRX:-0.126, RUNE:-0.141
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOT:0.144, AVAX:0.136, UNI:0.122, ALPHA:0.098, XTZ:-0.043, ATOM:-0.147, ICX:-0.149, COMP:-0.160
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.142, CRV:0.137, DOT:0.112, ATOM:0.110, ZIL:-0.000, DASH:-0.000, ZEN:-0.000, XMR:-0.500
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LINK:0.225, SNX:0.220, SKL:0.039, TRB:0.017, SXP:-0.100, XMR:-0.109, ZEN:-0.142, KSM:-0.150
