2025-10-10 17:03:51 | INFO     | Backtest.engine.runner | Running backtest threshold_60min_62_6b41214d0a_mean_rev_threshold -> output C:\Users\User\Desktop\1. Factor Automation V6.0\Backtest\results\threshold\threshold_60min_62_6b41214d0a_mean_rev_threshold
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | Starting ThresholdStrategy | rebalance=24 | max_positions=12 | cash_buffer=0.10
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, BAND:0.000, BAT:0.000, BCH:0.000, BEL:0.000
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:0.075, ATOM:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BNB:0.075, CRV:0.075, DASH:0.075, DOT:0.075, ETC:0.075, ETH:0.075, DOGE:-0.075
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, ATOM:0.075, AXS:0.075, COMP:0.075, FIL:0.075, ICX:0.075, KNC:0.075, BAND:-0.075, BCH:-0.075, CRV:-0.075, NEAR:-0.075, STORJ:-0.075
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:-0.075, AAVE:-0.075, ADA:-0.075, ALGO:-0.075, ATOM:-0.075, AXS:-0.075, BAT:-0.075, BCH:-0.075, BEL:-0.075, BNB:-0.075, COMP:-0.075, CRV:-0.075
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:-0.082, AVAX:-0.082, EGLD:-0.082, ETH:-0.082, ICX:-0.082, IOTA:-0.082, LRC:-0.082, RUNE:-0.082, SKL:-0.082, SNX:-0.082, XTZ:-0.082
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> SOL:0.180, 1INCH:0.000, AAVE:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, ADA:-0.180, IOST:-0.180, XLM:-0.180, ZRX:-0.180
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:-0.075, ALPHA:-0.075, AXS:-0.075, BCH:-0.075, BTC:-0.075, COMP:-0.075, DOT:-0.075, KNC:-0.075, KSM:-0.075, LTC:-0.075, NEO:-0.075, ONT:-0.075
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BCH:0.075, BEL:0.075, COMP:0.075, CRV:0.075
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.225, ENJ:0.225, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AXS:0.000, BAND:0.000, BAT:0.000, AVAX:-0.225, IOTA:-0.225
2025-10-10 17:15:03 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:-0.075, ALGO:-0.075, ALPHA:-0.075, AVAX:-0.075, BAT:-0.075, BCH:-0.075, BEL:-0.075, BNB:-0.075, COMP:-0.075, CRV:-0.075, DASH:-0.075, DOT:-0.075
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:0.075, ALPHA:0.075, AVAX:0.075, BAND:0.075, BNB:0.075, BTC:0.075, DOGE:0.075, ETH:0.075, GRT:0.075, KNC:0.075, LINK:0.075, LRC:0.075
