2025-10-09 15:58:47 | INFO     | Backtest.engine.runner | Running backtest topk_60min_62_c792a02a00_composite_mom60_topk -> output C:\Users\User\Desktop\1. Factor Automation V6.0\Backtest\results\topk\topk_60min_62_c792a02a00_composite_mom60_topk
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | Starting TopKStrategy | rebalance=24 | max_positions=12 | cash_buffer=0.10
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.090, AAVE:0.090, ADA:0.090, ALGO:0.090, ALPHA:0.090, ATOM:0.090, AVAX:0.090, AXS:0.090, BAND:0.090, BAT:0.090
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BAND:0.121, ADA:0.102, ETH:0.100, XLM:0.092, RLC:0.086, LRC:0.086, BTC:0.082, AVAX:0.081, IOST:0.078, SOL:0.072
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.111, AVAX:0.100, RLC:0.092, XLM:0.091, ADA:0.090, BCH:0.087, ZRX:0.083, QTUM:0.083, ICX:0.081, ETH:0.081
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.126, NEO:0.100, ZEN:0.099, AVAX:0.097, XLM:0.094, ZEC:0.092, BCH:0.087, XMR:0.076, QTUM:0.067, IOST:0.062
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.186, AVAX:0.158, ZEN:0.104, XLM:0.089, NEO:0.085, ZEC:0.081, DASH:0.065, KNC:0.047, XMR:0.045, XRP:0.040
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AVAX:0.149, ZEC:0.129, SOL:0.118, ZEN:0.112, IOST:0.096, DASH:0.081, ALPHA:0.061, XRP:0.059, XLM:0.047, NEO:0.047
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.142, AVAX:0.138, ZEC:0.137, ALPHA:0.085, DASH:0.080, ZEN:0.076, SOL:0.068, SUSHI:0.064, YFI:0.058, DOT:0.052
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.173, AVAX:0.154, DOT:0.109, ZEC:0.088, SUSHI:0.076, ZEN:0.068, RUNE:0.063, KSM:0.063, DASH:0.054, COMP:0.053
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.181, CRV:0.114, DOT:0.091, AAVE:0.087, LINK:0.086, ATOM:0.078, AVAX:0.072, ZEC:0.068, KAVA:0.061, SUSHI:0.061
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOT:0.136, AVAX:0.133, KSM:0.110, AAVE:0.095, SUSHI:0.091, UNI:0.077, ATOM:0.071, GRT:0.067, 1INCH:0.062, CRV:0.057
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> CRV:0.137, DOT:0.112, AVAX:0.107, IOST:0.094, 1INCH:0.084, KSM:0.078, GRT:0.075, LINK:0.073, NEAR:0.071, SUSHI:0.069
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> CRV:0.119, GRT:0.113, SUSHI:0.094, DOT:0.092, UNI:0.088, AAVE:0.084, ATOM:0.081, KSM:0.080, AVAX:0.080, RUNE:0.070
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.155, DOT:0.107, CRV:0.098, GRT:0.091, 1INCH:0.080, KSM:0.076, RUNE:0.076, KAVA:0.073, ATOM:0.072, LINK:0.071
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> CRV:0.151, ENJ:0.144, NEAR:0.084, GRT:0.079, BEL:0.079, DOT:0.078, RLC:0.075, ALPHA:0.073, AVAX:0.071, VET:0.067
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> CRV:0.263, BEL:0.173, ENJ:0.164, ALPHA:0.114, AVAX:0.053, KNC:0.047, NEAR:0.046, AXS:0.021, GRT:0.018
2025-10-09 16:06:15 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BEL:0.146, ALPHA:0.141, ENJ:0.141, AVAX:0.084, CRV:0.082, BAT:0.079, GRT:0.063, VET:0.058, 1INCH:0.055, NEAR:0.053
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.195, CRV:0.116, QTUM:0.102, ENJ:0.099, BEL:0.089, LINK:0.066, AXS:0.062, RLC:0.059, RUNE:0.059, AAVE:0.053
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.207, UNI:0.107, ENJ:0.094, RUNE:0.087, AAVE:0.086, ETH:0.075, SUSHI:0.067, 1INCH:0.062, EGLD:0.061, COMP:0.056
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.164, ENJ:0.142, EGLD:0.116, AXS:0.097, UNI:0.079, FLM:0.076, AAVE:0.063, 1INCH:0.056, ICX:0.055, CRV:0.052
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.289, UNI:0.112, AXS:0.111, AAVE:0.084, EGLD:0.077, CRV:0.056, 1INCH:0.051, ICX:0.050, THETA:0.037, RUNE:0.034
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> UNI:0.162, ALPHA:0.146, EGLD:0.145, RUNE:0.092, AAVE:0.092, SXP:0.068, 1INCH:0.064, AXS:0.063, ZRX:0.042, BAT:0.027
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.207, ALPHA:0.104, RUNE:0.103, 1INCH:0.091, UNI:0.080, EGLD:0.076, AAVE:0.075, COMP:0.059, XLM:0.053, SUSHI:0.052
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.164, ALPHA:0.130, EGLD:0.119, 1INCH:0.099, RUNE:0.093, UNI:0.092, COMP:0.058, AAVE:0.056, ALGO:0.050, SXP:0.040
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.152, UNI:0.126, EGLD:0.121, XRP:0.088, ALPHA:0.087, RUNE:0.079, COMP:0.075, DOGE:0.062, SUSHI:0.057, LRC:0.052
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.161, XRP:0.128, 1INCH:0.118, EGLD:0.099, ALPHA:0.084, GRT:0.077, FLM:0.065, COMP:0.064, UNI:0.052, SXP:0.052
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RUNE:0.106, BNB:0.102, DOGE:0.101, 1INCH:0.099, SUSHI:0.094, COMP:0.093, UNI:0.089, ALPHA:0.081, BAND:0.071, ADA:0.064
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.143, 1INCH:0.104, BNB:0.093, COMP:0.093, SUSHI:0.092, RUNE:0.088, SOL:0.082, BEL:0.074, FLM:0.067, EGLD:0.064
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> COMP:0.121, DOGE:0.114, SUSHI:0.106, SOL:0.091, FLM:0.083, BNB:0.082, 1INCH:0.081, DOT:0.077, AAVE:0.076, GRT:0.071
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.126, COMP:0.116, BNB:0.105, SUSHI:0.103, AAVE:0.097, ZRX:0.091, 1INCH:0.080, FLM:0.061, SXP:0.061, KAVA:0.060
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZRX:0.122, BNB:0.122, SOL:0.099, COMP:0.095, ADA:0.090, AAVE:0.080, ATOM:0.077, FLM:0.075, CRV:0.072, KAVA:0.067
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.159, ADA:0.135, ZRX:0.116, AVAX:0.090, EGLD:0.079, IOTA:0.077, SOL:0.066, QTUM:0.060, AAVE:0.060, ATOM:0.059
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.152, ADA:0.113, AVAX:0.098, BNB:0.093, ZRX:0.085, NEAR:0.077, SOL:0.077, ATOM:0.076, AAVE:0.066, BAT:0.063
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.140, IOTA:0.102, BNB:0.100, AVAX:0.098, BTC:0.085, SOL:0.085, ZRX:0.077, FIL:0.072, ADA:0.072, AAVE:0.069
