2025-11-03 15:59:02 | INFO     | __main__ | Logging initialised at FactorFoundry\logs\prepare_voltrend_adv_v1_2H_20251103075902.log
2025-11-03 15:59:02 | INFO     | __main__ | Starting factor preparation | timeframe=2H | factor_set=voltrend_adv_v1 | symbols=BTC,ETH,BCH,XRP,LTC,TRX,ETC,LINK,XLM,ADA,XTZ,ATOM,BNB,IOTA,VET,NEO,QTUM,THETA,ALGO,COMP,DOGE,SXP,DOT,CRV,TRB,SUSHI,RUNE,SOL,UNI,AVAX,NEAR,FIL,AAVE,RSR,AXS,ZEN,SKL,GRT,CHZ,SAND
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol BTC
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\BTC.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol ETH
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\ETH.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol BCH
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\BCH.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol XRP
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\XRP.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol LTC
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\LTC.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol TRX
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\TRX.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol ETC
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\ETC.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol LINK
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\LINK.parquet (20125 rows)
2025-11-03 15:59:02 | INFO     | __main__ | Processing symbol XLM
2025-11-03 15:59:02 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\XLM.parquet (20125 rows)
